,win,firstBlood,firstTower,firstInhibitor,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills,gameId
41422,Win,FALSE,FALSE,TRUE,6,1,1,1,1,4218284999
41423,Win,TRUE,TRUE,TRUE,11,4,1,2,0,4218125353
41424,Win,TRUE,TRUE,FALSE,6,0,0,2,1,4255958014
41425,Win,TRUE,FALSE,TRUE,8,1,1,4,1,4255995332
41426,Win,TRUE,TRUE,TRUE,5,1,0,2,2,4255992544
41427,Win,TRUE,TRUE,TRUE,9,1,1,2,2,4255717278
41428,Win,TRUE,FALSE,TRUE,10,3,1,3,1,4255680960
41429,Win,TRUE,TRUE,TRUE,8,1,1,4,1,4254621058
41430,Win,TRUE,TRUE,TRUE,8,1,1,2,1,4254430475
41431,Win,TRUE,TRUE,TRUE,10,1,1,3,2,4254340397
41432,Win,TRUE,TRUE,TRUE,9,3,1,4,1,4252666166
41433,Win,TRUE,FALSE,TRUE,9,2,1,3,0,4252625071
41434,Win,TRUE,TRUE,FALSE,7,1,1,3,1,4252511891
41436,Win,FALSE,TRUE,FALSE,7,0,1,4,2,4251497977
41437,Win,FALSE,TRUE,TRUE,11,4,0,3,1,4249181532
41438,Win,FALSE,TRUE,TRUE,8,1,1,3,2,4249009916
41439,Win,TRUE,TRUE,TRUE,9,1,1,2,2,4248961902
41441,Win,FALSE,TRUE,TRUE,10,2,1,2,1,4246825378
41442,Win,FALSE,FALSE,FALSE,10,2,2,4,1,4246392252
41445,Win,TRUE,TRUE,TRUE,10,3,1,4,1,4246093632
41446,Win,FALSE,FALSE,FALSE,5,1,0,4,0,4243376984
41447,Win,TRUE,TRUE,TRUE,11,4,0,2,1,4243318556
41449,Win,FALSE,TRUE,TRUE,6,1,0,2,2,4243177115
41450,Win,TRUE,TRUE,TRUE,10,2,1,1,1,4242829964
41451,Win,FALSE,FALSE,TRUE,5,1,1,1,0,4241736754
41452,Win,TRUE,FALSE,TRUE,11,3,1,3,0,4241625729
41454,Win,TRUE,TRUE,TRUE,6,1,0,0,0,4237843682
41456,Win,TRUE,FALSE,TRUE,6,1,0,3,0,4236398506
41458,Win,FALSE,TRUE,TRUE,8,1,1,2,2,4235078216
41459,Win,FALSE,TRUE,TRUE,5,1,1,2,2,4232612954
41460,Win,FALSE,FALSE,TRUE,11,2,1,3,0,4232501922
41465,Win,TRUE,TRUE,FALSE,6,0,0,2,2,4219143139
41466,Win,TRUE,TRUE,TRUE,8,1,1,3,1,4208621003
41467,Win,TRUE,TRUE,TRUE,6,1,0,0,1,4199999947
41468,Win,FALSE,FALSE,FALSE,6,1,1,2,0,4200016768
41469,Win,TRUE,TRUE,TRUE,6,1,0,2,1,4199909992
41471,Win,FALSE,FALSE,TRUE,10,2,1,2,1,4196803291
41473,Win,TRUE,TRUE,TRUE,6,1,0,3,1,4196686409
41474,Win,TRUE,TRUE,TRUE,7,1,0,1,1,4196641675
41475,Win,TRUE,FALSE,TRUE,7,1,1,1,2,4196614865
41476,Win,TRUE,FALSE,TRUE,8,1,1,2,0,4196506989
41478,Win,FALSE,TRUE,TRUE,11,3,1,3,1,4196219657
41479,Win,FALSE,TRUE,TRUE,7,1,1,3,0,4196211327
41480,Win,FALSE,FALSE,FALSE,5,0,2,4,0,4188022729
41482,Win,FALSE,TRUE,TRUE,8,1,1,1,0,4187863713
41484,Win,FALSE,TRUE,TRUE,6,1,0,0,0,4187823994
41485,Win,FALSE,FALSE,TRUE,9,2,1,4,1,4187622834
41486,Win,TRUE,TRUE,TRUE,10,1,1,3,1,4187592333
41487,Win,TRUE,TRUE,TRUE,8,1,0,1,1,4187492473
41488,Win,FALSE,TRUE,TRUE,7,1,0,1,1,4187406312
41491,Win,TRUE,TRUE,TRUE,11,3,1,4,2,4183940058
41492,Win,FALSE,TRUE,TRUE,11,2,1,2,1,4183907928
41494,Win,TRUE,TRUE,TRUE,8,1,0,2,2,4183875186
41496,Win,TRUE,TRUE,TRUE,9,2,0,2,0,4183902014
41497,Win,TRUE,TRUE,FALSE,6,0,0,4,0,4183849483
41499,Win,TRUE,TRUE,TRUE,5,1,0,0,0,4183794465
41500,Win,FALSE,TRUE,TRUE,9,2,0,2,1,4183830695
41501,Win,TRUE,FALSE,FALSE,7,1,0,2,1,4183734866
41502,Win,TRUE,TRUE,TRUE,9,1,0,1,1,4183638278
41503,Win,TRUE,TRUE,TRUE,6,1,0,0,0,4183673589
41505,Win,TRUE,TRUE,TRUE,6,1,0,1,0,4254971425
41506,Win,FALSE,FALSE,TRUE,5,1,0,1,0,4254845974
41507,Win,TRUE,TRUE,TRUE,11,3,0,0,0,4254851745
41508,Win,TRUE,TRUE,TRUE,10,3,0,1,0,4254814189
41510,Win,FALSE,TRUE,TRUE,7,1,0,1,1,4252639367
41511,Win,FALSE,TRUE,TRUE,8,1,1,2,2,4252671196
41512,Win,FALSE,TRUE,TRUE,10,2,1,1,0,4252546330
41513,Win,TRUE,TRUE,TRUE,11,1,1,1,1,4252529281
41514,Win,TRUE,TRUE,TRUE,11,2,0,1,0,4252523992
41515,Win,TRUE,TRUE,TRUE,10,2,0,0,1,4252440076
41516,Win,TRUE,TRUE,TRUE,8,2,0,0,1,4251716985
41518,Win,TRUE,TRUE,TRUE,11,3,0,0,0,4251564096
41519,Win,TRUE,TRUE,TRUE,10,2,0,2,1,4251478795
41520,Win,TRUE,FALSE,FALSE,8,1,0,1,0,4251491134
41521,Win,FALSE,TRUE,TRUE,9,3,0,0,0,4251402675
41522,Win,FALSE,TRUE,FALSE,5,1,2,1,1,4251241601
41523,Win,FALSE,TRUE,TRUE,6,1,0,1,1,4251082512
41525,Win,FALSE,FALSE,TRUE,7,1,1,0,0,4248370150
41526,Win,FALSE,TRUE,TRUE,7,1,0,3,2,4245874581
41527,Win,TRUE,TRUE,TRUE,10,2,1,3,2,4245759212
41529,Win,TRUE,FALSE,FALSE,7,1,0,0,0,4245724675
41530,Win,TRUE,TRUE,TRUE,7,1,0,2,1,4245650077
41531,Win,FALSE,TRUE,TRUE,11,2,1,3,2,4245544250
41532,Win,TRUE,TRUE,TRUE,10,2,0,2,1,4244301114
